split,balance,N,classifier,subject,eer,far_at_frr,frr_at_far
session,fixed,10,LDA,s032,0.316,0.9071999999999999,0.9600000000000002
session,fixed,10,LDA,s033,0.0364,0.3256,0.27999999999999997
session,fixed,10,LDA,s034,0.142,0.7112,0.512
session,fixed,10,LDA,s035,0.1512,0.852,0.866
session,fixed,10,LDA,s036,0.026000000000000023,0.604,0.07200000000000002
session,fixed,10,LDA,s037,0.2032,0.6008,0.9800000000000001
session,fixed,10,LDA,s038,0.08,0.9743999999999999,0.708
session,fixed,10,LDA,s039,0.06240000000000001,0.7328,0.788
session,fixed,10,LDA,s040,0.064,0.44719999999999993,0.358
session,fixed,10,LDA,s041,0.055200000000000006,0.2496,0.618
session,fixed,10,LDA,s042,0.03520000000000001,0.0824,0.156
session,fixed,10,LDA,s043,0.04480000000000001,0.12080000000000002,0.6479999999999999
session,fixed,10,LDA,s044,0.12600000000000003,0.7112,0.8480000000000001
session,fixed,10,LDA,s046,0.12,0.4832000000000001,0.9199999999999999
session,fixed,10,LDA,s047,0.1472,0.9264000000000001,0.664
session,fixed,10,LDA,s048,0.17240000000000003,0.7215999999999999,0.992
session,fixed,10,LDA,s049,0.056400000000000006,0.828,0.538
session,fixed,10,LDA,s050,0.1424,0.8215999999999999,0.836
session,fixed,10,LDA,s051,0.11399999999999999,0.5992,0.976
session,fixed,10,LDA,s052,0.017200000000000007,0.2752,0.166
session,fixed,10,LDA,s053,0.06599999999999999,0.29119999999999996,0.472
session,fixed,10,LDA,s054,0.2944,0.9311999999999999,0.984
session,fixed,10,LDA,s055,0.0364,0.20800000000000002,0.346
session,fixed,10,LDA,s056,0.098,0.5144,0.5000000000000001
session,fixed,10,LDA,s057,0.21280000000000002,0.7928,0.938
session,fixed,10,Threshold,s002,0.4756,0.9023999999999999,0.674
session,fixed,10,Threshold,s003,0.3416,0.8736,0.9759999999999998
session,fixed,10,Threshold,s004,0.09799999999999998,0.8648,0.57
session,fixed,10,Threshold,s005,0.0548,0.6399999999999999,0.28200000000000003
session,fixed,10,Threshold,s007,0.20759999999999995,0.8455999999999999,0.898
