N,classifier,subject,selected_params,tune_ms,fit_ms,bundle_kb,warmup_queries,timed_queries,pre_mean_ms,pre_sd_ms,pre_p50_ms,pre_p95_ms,pre_p99_ms,pre_max_ms,pre_n_queries,model_mean_ms,model_sd_ms,model_p50_ms,model_p95_ms,model_p99_ms,model_max_ms,model_n_queries,e2e_mean_ms,e2e_sd_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_max_ms,e2e_n_queries
50,MLP,s055,"{""alpha"": 0.0001, ""h"": 64}",151.2905,47.208625,170.6591796875,100,1000,0.057523021,0.0019632987420434797,0.057416,0.060044099999999996,0.06488042,0.077208,1000,0.17436334299999998,0.0037265915235956213,0.173584,0.1802931,0.19000708,0.206334,1000,0.23118286899999999,0.007004841280514798,0.23,0.2411795,0.25388167,0.383708,1000
50,MLP,s056,"{""alpha"": 0.0001, ""h"": 32}",187.509083,80.396625,98.80859375,100,1000,0.058152505,0.00181107566408365,0.058084,0.060377099999999996,0.06612791,0.074042,1000,0.16817257000000002,0.005085240068438623,0.167625,0.1722122,0.18121024,0.277958,1000,0.2255237,0.005642209235313333,0.22477049999999998,0.231625,0.23921175,0.32125,1000
50,MLP,s057,"{""alpha"": 0.0001, ""h"": 128}",169.289542,57.544667,319.3115234375,100,1000,0.056985297000000004,0.0017378961556545425,0.056875,0.059333,0.06254325,0.074458,1000,0.17629703900000002,0.006487694274739022,0.1755,0.18066605,0.18805517,0.333041,1000,0.232119252,0.007486943079733888,0.2313125,0.23771105,0.24668532999999998,0.354,1000
200,k-NN,s002,"{""k"": 5}",5.599208,0.241167,76.654296875,100,1000,0.07130513,0.021918140411910318,0.063667,0.1139622,0.16375792,0.209916,1000,0.233982855,0.07778112857710863,0.2012915,0.40888749999999996,0.5215924099999999,0.669584,1000,0.303889356,0.08955377886108193,0.2632295,0.49748095,0.63821366,0.74375,1000
200,k-NN,s003,"{""k"": 3}",4.241083,0.22925,76.654296875,100,1000,0.076872995,0.03307973415057091,0.06377050000000001,0.15348089999999998,0.2078455,0.275709,1000,0.272890686,0.13037058786800976,0.2018955,0.5306708,0.66948825,1.47275,1000,0.35208180400000005,0.16059902563004205,0.26645850000000004,0.6537297999999999,0.86021008,2.355667,1000
200,k-NN,s004,"{""k"": 5}",3.962959,0.232625,76.654296875,100,1000,0.06978164599999999,0.024005653628735604,0.062833,0.11372769999999999,0.17839624999999998,0.228833,1000,0.22907422700000002,0.07217663298864146,0.201708,0.3521228999999998,0.49670158,0.996417,1000,0.296934865,0.08597383182283477,0.262666,0.47126634999999995,0.60878333,1.02975,1000
200,k-NN,s005,"{""k"": 3}",5.187458,0.358459,76.654296875,100,1000,0.077731107,0.03408209303416004,0.0633335,0.15773719999999997,0.19516991999999989,0.259042,1000,0.27672131,0.1263635775923816,0.2120205,0.5115441,0.6821991599999999,1.191625,1000,0.358923245,0.15897910823357173,0.2795415,0.6769496999999999,0.83611134,1.756459,1000
200,k-NN,s007,"{""k"": 5}",3.997459,0.235625,76.654296875,100,1000,0.076019159,0.03193746961622361,0.063208,0.15797564999999997,0.18983509,0.246583,1000,0.28083368699999994,0.51753758898508,0.206,0.4997868499999998,0.69567708,16.218125,1000,0.344099585,0.14722501789693057,0.267104,0.6435392499999999,0.85055825,1.718083,1000
200,k-NN,s008,"{""k"": 5}",4.92875,0.287542,76.654296875,100,1000,0.081103922,0.036709825934019655,0.0639795,0.1703423,0.20636232999999995,0.242958,1000,0.29533098700000004,0.14658458734826418,0.251708,0.5545148999999999,0.7893997499999998,2.069959,1000,0.382176109,0.17831691840092773,0.3325625,0.71118125,1.0301004999999999,1.698041,1000
200,k-NN,s010,"{""k"": 3}",4.236917,0.230417,76.654296875,100,1000,0.07445821700000001,0.030132017047540382,0.0627085,0.150375,0.19004666999999997,0.251625,1000,0.250762694,0.0976331004187501,0.1985205,0.46837884999999996,0.58493,0.865667,1000,0.32373407899999995,0.1177690685418798,0.261542,0.5936705499999999,0.7479305900000001,0.983209,1000
200,k-NN,s011,"{""k"": 5}",3.720792,0.228792,76.654296875,100,1000,0.07619841100000001,0.031462432103000475,0.062916,0.15617645,0.18888707999999998,0.241833,1000,0.267245267,0.12728671424748,0.2069165,0.4856291499999998,0.69271117,1.933,1000,0.34070401200000006,0.13657556885717342,0.267688,0.6260350999999997,0.82456051,1.279541,1000
