N,classifier,n_subjects,selected_params_mode,bundle_kb_mean,bundle_kb_max,tune_ms_mean,fit_ms_mean,pre_mean_ms,pre_sd_ms,pre_p50_ms,pre_p95_ms,pre_p99_ms,pre_max_ms,model_mean_ms,model_sd_ms,model_p50_ms,model_p95_ms,model_p99_ms,model_max_ms,e2e_mean_ms,e2e_sd_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_max_ms
10,k-NN,51,"{""k"": 3}",29.142578125,29.142578125,4.666743411764705,0.24536931372549023,0.07385507723529411,0.026692656375618472,0.06349758823529411,0.13458400098039214,0.17957148686274504,0.24044443137254898,0.20806506392156862,0.08984129221286065,0.16863234313725492,0.3794143107843137,0.4873664033333332,0.9912580980392156,0.2818198949019608,0.11125278231708169,0.232952568627451,0.4937039745098038,0.6264340696078431,1.3109550784313724
10,LDA,51,{},2.95703125,2.95703125,0.0008013725490196079,0.9952214117647058,0.0560618085490196,0.0025046934862456784,0.055713980392156866,0.05863646862745098,0.06355912549019607,0.09174266666666667,0.06211543968627452,0.002682044116404219,0.061734813725490195,0.06443727843137254,0.07044489921568628,0.10851543137254901,0.11766280239215686,0.004473406604296653,0.11716837254901963,0.12144525294117646,0.13112510980392156,0.2002042745098039
10,Threshold,51,{},0.685546875,0.685546875,0.0,0.02008737254901961,0.0,0.0,0.0,0.0,0.0,0.0,0.002691670450980393,0.0002173637378557222,0.0026691764705882347,0.002803319607843137,0.0030794243137254908,0.008025392156862744,0.002691670450980393,0.0002173637378557222,0.0026691764705882347,0.002803319607843137,0.0030794243137254908,0.008025392156862744
10,Linear SVM,51,"{""C"": 0.01}",1.8062002144607843,1.8076171875,8.067988647058824,0.6495833137254902,0.05381163037254902,0.0019387892131297979,0.053502490196078424,0.055906259803921575,0.059915595882352936,0.0826683137254902,0.04996785182352941,0.0015583285329251215,0.04978066666666667,0.05159084019607844,0.05519680549019607,0.07373929411764706,0.1032568511372549,0.0026607536222782936,0.10287901960784314,0.10641697549019608,0.11213784882352941,0.14145907843137256
10,MLP,51,"{""alpha"": 0.0001, ""h"": 32}",160.85372625612746,319.4794921875,159.60145021568627,50.9367165490196,0.05795211933333334,0.0037847910703564425,0.05765933333333334,0.06059535196078431,0.06733604862745096,0.12974176470588236,0.1727246881568628,0.007581016992279429,0.17167197058823525,0.17830066666666666,0.19321680176470588,0.3218430588235294,0.22962725568627448,0.00951451785708196,0.22818868627450983,0.23760212549019608,0.25765531333333336,0.39666417647058827
50,k-NN,51,"{""k"": 5}",39.142578125,39.142578125,3.8815841568627456,0.2511217450980392,0.07354872923529412,0.026299167098941218,0.0634566568627451,0.13082002450980387,0.17807335705882352,0.2370833137254902,0.20763931905882352,0.09499137270840002,0.17703833333333333,0.3548387519607843,0.4567543913725489,1.4117393529411764,0.2835238399019608,0.17946983711774447,0.24137704901960785,0.47094314117647046,0.5982641421568626,3.6075555686274514
50,LDA,51,{},2.95703125,2.95703125,0.0008840196078431373,0.8751299607843137,0.05599548929411764,0.0023788837187500443,0.05564582352941176,0.058505264705882354,0.06243849686274509,0.08763321568627452,0.06196163588235294,0.002387740941149434,0.06163556862745098,0.06413307647058823,0.06836732117647058,0.10047137254901961,0.11743870090196079,0.003242859260552255,0.11709063725490193,0.12098745588235293,0.12767332921568625,0.1610358823529412
50,Threshold,51,{},0.685546875,0.685546875,0.0,0.026191980392156866,0.0,0.0,0.0,0.0,0.0,0.0,0.002730345137254903,0.0005738905205159862,0.002680098039215686,0.0028459705882352936,0.003777143137254901,0.015883921568627453,0.002730345137254903,0.0005738905205159862,0.002680098039215686,0.0028459705882352936,0.003777143137254901,0.015883921568627453
50,Linear SVM,51,"{""C"": 0.01}",1.8064108455882353,1.8076171875,5.896294980392156,0.5514803529411765,0.053900714627450975,0.0032091106776656036,0.05347703921568627,0.056175860784313726,0.06107337078431371,0.11490362745098037,0.05001862378431373,0.0027936713927799103,0.04969901960784314,0.05178476078431372,0.05712975647058823,0.10180239215686275,0.10328297974509802,0.0046682721692107325,0.10262248039215685,0.10674378235294116,0.12044719294117645,0.17864617647058817
50,MLP,51,"{""alpha"": 0.0001, ""h"": 32}",193.3679917279412,320.7373046875,173.17495427450982,63.00427615686276,0.057601933921568635,0.002604928905693544,0.05747270588235293,0.05974166666666667,0.06445625254901961,0.10114709803921568,0.17251753184313726,0.006108382851785342,0.17183826470588232,0.1767714450980392,0.18767127549019613,0.29759637254901955,0.22915905607843137,0.007515865859209559,0.2283006764705882,0.2348319058823529,0.24641099882352943,0.37773441176470585
