N,classifier,subject,selected_params
200,Linear SVM,s046,"{""C"": 0.01}"
200,Linear SVM,s047,"{""C"": 0.01}"
200,Linear SVM,s048,"{""C"": 1}"
200,Linear SVM,s049,"{""C"": 0.1}"
200,Linear SVM,s050,"{""C"": 0.01}"
200,Linear SVM,s051,"{""C"": 0.01}"
200,Linear SVM,s052,"{""C"": 0.01}"
200,Linear SVM,s053,"{""C"": 0.01}"
200,Linear SVM,s054,"{""C"": 0.01}"
200,Linear SVM,s055,"{""C"": 0.01}"
200,Linear SVM,s056,"{""C"": 0.01}"
200,Linear SVM,s057,"{""C"": 0.01}"
200,MLP,s002,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s003,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s004,"{""alpha"": 0.01, ""h"": 64}"
200,MLP,s005,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s007,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s008,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s010,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s011,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s012,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s013,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s015,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s016,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s017,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s018,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s019,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s020,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s021,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s022,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s024,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s025,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s026,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s027,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s028,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s029,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s030,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s031,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s032,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s033,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s034,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s035,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s036,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s037,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s038,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s039,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s040,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s041,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s042,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s043,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s044,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s046,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s047,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s048,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s049,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s050,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s051,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s052,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s053,"{""alpha"": 0.0001, ""h"": 64}"
200,MLP,s054,"{""alpha"": 0.0001, ""h"": 128}"
200,MLP,s055,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s056,"{""alpha"": 0.0001, ""h"": 32}"
200,MLP,s057,"{""alpha"": 0.0001, ""h"": 32}"
