seed,subject,classifier,pca_components,eer_pct
1,1,k-NN,10,2.4390243902439033
1,1,LDA,10,1.5384615384615385
1,1,k-NN,20,2.4390243902439033
1,1,LDA,20,0.0
1,1,k-NN,40,2.272727272727273
1,1,LDA,40,1.5384615384615385
1,1,k-NN,80,2.3255813953488365
1,1,LDA,80,4.102564102564102
1,1,k-NN,150,2.3255813953488365
1,1,LDA,150,3.076923076923077
1,2,k-NN,10,0.9999999999999991
1,2,LDA,10,3.589743589743589
1,2,k-NN,20,0.5000000000000002
1,2,LDA,20,0.5128205128205132
1,2,k-NN,40,0.0
1,2,LDA,40,0.0
1,2,k-NN,80,0.0
1,2,LDA,80,0.0
1,2,k-NN,150,0.0
1,2,LDA,150,0.0
1,3,k-NN,10,4.417177914110428
1,3,LDA,10,13.333333333333334
1,3,k-NN,20,2.409638554216868
1,3,LDA,20,4.615384615384616
1,3,k-NN,40,0.0
1,3,LDA,40,0.0
1,3,k-NN,80,0.0
1,3,LDA,80,0.0
1,3,k-NN,150,0.0
1,3,LDA,150,0.0
1,4,k-NN,10,30.000000000000004
1,4,LDA,10,2.0512820512820515
1,4,k-NN,20,5.6692913385826795
1,4,LDA,20,2.564102564102564
1,4,k-NN,40,0.0
1,4,LDA,40,0.0
1,4,k-NN,80,0.0
1,4,LDA,80,0.0
1,4,k-NN,150,0.0
1,4,LDA,150,0.5128205128205132
1,5,k-NN,10,0.5095541401273884
1,5,LDA,10,5.128205128205128
1,5,k-NN,20,1.0126582278480982
1,5,LDA,20,7.179487179487179
1,5,k-NN,40,1.008403361344536
1,5,LDA,40,5.128205128205128
1,5,k-NN,80,1.4814814814814825
1,5,LDA,80,4.102564102564102
1,5,k-NN,150,1.4285714285714275
1,5,LDA,150,4.102564102564102
1,6,k-NN,10,0.0
1,6,LDA,10,0.0
1,6,k-NN,20,0.0
1,6,LDA,20,0.0
1,6,k-NN,40,0.0
1,6,LDA,40,0.0
1,6,k-NN,80,0.0
1,6,LDA,80,0.0
1,6,k-NN,150,0.0
1,6,LDA,150,0.0
1,7,k-NN,10,0.0
1,7,LDA,10,0.5128205128205132
1,7,k-NN,20,0.0
1,7,LDA,20,0.5128205128205132
1,7,k-NN,40,0.0
1,7,LDA,40,0.0
1,7,k-NN,80,0.0
1,7,LDA,80,0.0
1,7,k-NN,150,0.0
1,7,LDA,150,0.0
1,8,k-NN,10,0.0
1,8,LDA,10,0.0
1,8,k-NN,20,0.0
1,8,LDA,20,0.0
1,8,k-NN,40,0.0
1,8,LDA,40,0.0
1,8,k-NN,80,0.0
1,8,LDA,80,0.0
1,8,k-NN,150,0.0
1,8,LDA,150,0.0
1,9,k-NN,10,16.88311688311688
1,9,LDA,10,15.384615384615385
1,9,k-NN,20,0.5063291139240491
1,9,LDA,20,4.102564102564102
1,9,k-NN,40,0.5063291139240491
1,9,LDA,40,2.564102564102564
1,9,k-NN,80,0.5063291139240491
1,9,LDA,80,0.0
1,9,k-NN,150,0.5063291139240491
1,9,LDA,150,0.0
1,10,k-NN,10,0.0
1,10,LDA,10,0.0
1,10,k-NN,20,0.0
1,10,LDA,20,0.0
1,10,k-NN,40,0.0
1,10,LDA,40,0.0
1,10,k-NN,80,0.0
1,10,LDA,80,0.0
1,10,k-NN,150,0.0
1,10,LDA,150,0.0
1,11,k-NN,10,0.0
1,11,LDA,10,0.0
1,11,k-NN,20,0.0
1,11,LDA,20,0.0
1,11,k-NN,40,0.0
1,11,LDA,40,0.0
1,11,k-NN,80,0.0
1,11,LDA,80,0.0
1,11,k-NN,150,0.0
1,11,LDA,150,0.0
1,12,k-NN,10,0.0
1,12,LDA,10,0.0
1,12,k-NN,20,0.0
1,12,LDA,20,0.0
1,12,k-NN,40,0.0
1,12,LDA,40,0.0
1,12,k-NN,80,0.0
1,12,LDA,80,0.0
1,12,k-NN,150,0.0
1,12,LDA,150,0.0
1,13,k-NN,10,0.0
1,13,LDA,10,3.589743589743589
1,13,k-NN,20,0.0
1,13,LDA,20,1.5384615384615385
1,13,k-NN,40,0.0
1,13,LDA,40,0.0
1,13,k-NN,80,0.0
1,13,LDA,80,0.0
1,13,k-NN,150,0.0
1,13,LDA,150,0.5128205128205132
1,14,k-NN,10,0.0
1,14,LDA,10,0.0
1,14,k-NN,20,0.0
1,14,LDA,20,0.0
1,14,k-NN,40,0.0
1,14,LDA,40,0.0
1,14,k-NN,80,0.0
1,14,LDA,80,0.0
1,14,k-NN,150,0.0
1,14,LDA,150,0.0
1,15,k-NN,10,0.508474576271188
1,15,LDA,10,20.0
1,15,k-NN,20,0.508474576271188
1,15,LDA,20,1.5384615384615385
1,15,k-NN,40,0.508474576271188
1,15,LDA,40,0.0
1,15,k-NN,80,0.508474576271188
1,15,LDA,80,0.0
1,15,k-NN,150,1.0000000000000004
1,15,LDA,150,0.0
1,16,k-NN,10,1.9512195121951201
1,16,LDA,10,6.666666666666665
1,16,k-NN,20,0.9756097560975601
1,16,LDA,20,0.0
1,16,k-NN,40,1.4285714285714275
1,16,LDA,40,0.0
1,16,k-NN,80,0.9756097560975601
1,16,LDA,80,1.025641025641025
1,16,k-NN,150,1.0000000000000004
1,16,LDA,150,2.564102564102564
1,17,k-NN,10,0.9756097560975601
1,17,LDA,10,8.205128205128204
1,17,k-NN,20,0.9999999999999991
