subject,classifier,pca_components,eer_pct,split_sd_pct,n_splits
1,LDA,10,1.3846153846153846,1.2573111486108233,10
1,LDA,20,2.923076923076923,4.222256825353897,10
1,LDA,40,4.0,6.6196015623877145,10
1,LDA,80,4.205128205128205,5.815986542859699,10
1,LDA,150,7.230769230769231,8.22451413585252,10
1,k-NN,10,7.411970486356869,8.102501312434821,10
1,k-NN,20,6.0819649641191535,7.33532686937794,10
1,k-NN,40,5.591642218636146,9.416463232841789,10
1,k-NN,80,7.4005929615129915,8.097360753219986,10
1,k-NN,150,8.976635815621265,8.240847847410702,10
2,LDA,10,0.9743589743589742,1.0383823964777736,10
2,LDA,20,0.05128205128205132,0.16216808513684008,10
2,LDA,40,0.0,0.0,10
2,LDA,80,0.0,0.0,10
2,LDA,150,0.0,0.0,10
2,k-NN,10,0.28604651162790684,0.6362305994201184,10
2,k-NN,20,0.050000000000000024,0.15811388300841903,10
2,k-NN,40,0.0,0.0,10
2,k-NN,80,0.0,0.0,10
2,k-NN,150,0.0,0.0,10
3,LDA,10,15.025641025641026,6.201383344079956,10
3,LDA,20,1.794871794871795,1.891960993263133,10
3,LDA,40,0.1025641025641025,0.3243361702736798,10
3,LDA,80,0.0,0.0,10
3,LDA,150,0.0,0.0,10
3,k-NN,10,15.620218178123414,14.293034635534164,10
3,k-NN,20,6.0686317315125695,5.9882201121742895,10
3,k-NN,40,4.447088059130878,6.893851068312059,10
3,k-NN,80,4.398165853611352,6.8447351050319325,10
3,k-NN,150,5.875566574852585,7.783256714949412,10
4,LDA,10,5.076923076923077,3.396938629415105,10
4,LDA,20,2.769230769230769,2.0541290783999724,10
4,LDA,40,0.35897435897435903,0.8036006340884211,10
4,LDA,80,0.05128205128205132,0.16216808513684008,10
4,LDA,150,0.2051282051282052,0.49543168363040824,10
4,k-NN,10,12.517974446971667,12.385842012705584,10
4,k-NN,20,8.47413817759352,7.535800752358842,10
4,k-NN,40,3.8805013988459516,7.080036372713965,10
4,k-NN,80,1.010156423752687,1.3100210888466104,10
4,k-NN,150,0.9398761130468447,1.2360229649435017,10
5,LDA,10,5.692307692307692,2.2215646627397923,10
5,LDA,20,3.3846153846153846,1.7466037298386052,10
5,LDA,40,1.8974358974358974,2.094278720792038,10
5,LDA,80,1.487179487179487,1.5183875549540138,10
5,LDA,150,1.641025641025641,1.59991233597232,10
5,k-NN,10,6.908729475468929,7.118694062797845,10
5,k-NN,20,3.7603724813777952,4.861177750713615,10
5,k-NN,40,6.583199041709591,7.430718857463198,10
5,k-NN,80,5.469852317664166,6.310334129483234,10
5,k-NN,150,2.9261003920258215,1.481622045805251,10
6,LDA,10,0.0,0.0,10
6,LDA,20,0.0,0.0,10
6,LDA,40,0.0,0.0,10
6,LDA,80,0.0,0.0,10
6,LDA,150,0.0,0.0,10
6,k-NN,10,0.0,0.0,10
6,k-NN,20,0.0,0.0,10
6,k-NN,40,0.0,0.0,10
6,k-NN,80,0.0,0.0,10
6,k-NN,150,0.0,0.0,10
7,LDA,10,0.3076923076923078,0.35856712757953896,10
7,LDA,20,0.512820512820513,0.4834918161959299,10
7,LDA,40,0.0,0.0,10
7,LDA,80,0.0,0.0,10
7,LDA,150,0.0,0.0,10
7,k-NN,10,0.3534215768168083,0.34168344072432405,10
7,k-NN,20,0.3520408163265302,0.33850800847751766,10
7,k-NN,40,0.10204081632653013,0.21512092926315401,10
7,k-NN,80,0.10204081632653013,0.21512092926315401,10
7,k-NN,150,0.15204081632653016,0.2448247244996252,10
8,LDA,10,0.10256410256410264,0.2162241135157868,10
8,LDA,20,0.0,0.0,10
8,LDA,40,0.0,0.0,10
8,LDA,80,0.0,0.0,10
8,LDA,150,0.0,0.0,10
8,k-NN,10,0.0,0.0,10
8,k-NN,20,0.0,0.0,10
8,k-NN,40,0.0,0.0,10
8,k-NN,80,0.0,0.0,10
8,k-NN,150,0.0,0.0,10
9,LDA,10,5.538461538461538,4.553558677818101,10
9,LDA,20,1.9487179487179485,2.3784652486736526,10
9,LDA,40,0.4615384615384615,0.8180161445473776,10
9,LDA,80,0.0,0.0,10
9,LDA,150,0.0,0.0,10
9,k-NN,10,6.8108062029424605,8.971501145444236,10
