subject,classifier,representation,eer_pct,split_sd_pct,n_splits,n_genuine_test,n_impostor_test
22,LDA,Raw,1.435897435897436,1.6360322890947554,10,5,195
22,k-NN,PCA-40,0.0,0.0,10,5,195
22,k-NN,Raw,0.0,0.0,10,5,195
23,LDA,PCA-40,1.5384615384615388,2.7457057101211984,10,5,195
23,LDA,Raw,1.1282051282051282,1.9004365278204849,10,5,195
23,k-NN,PCA-40,7.589591949068742,9.812014517672992,10,5,195
23,k-NN,Raw,6.395847222672666,7.306360427669324,10,5,195
24,LDA,PCA-40,0.4102564102564104,0.9609209793200135,10,5,195
24,LDA,Raw,0.05128205128205132,0.16216808513684008,10,5,195
24,k-NN,PCA-40,0.097560975609756,0.30851489367496354,10,5,195
24,k-NN,Raw,0.2500000000000001,0.4249182927993989,10,5,195
25,LDA,PCA-40,0.7692307692307689,2.0970673754504774,10,5,195
25,LDA,Raw,0.7692307692307692,1.8291397059002301,10,5,195
25,k-NN,PCA-40,2.737914861941318,5.126112558384643,10,5,195
25,k-NN,Raw,1.7254020464152398,1.6178538800426936,10,5,195
26,LDA,PCA-40,4.717948717948718,7.005627909913268,10,5,195
26,LDA,Raw,5.282051282051282,6.90162340186159,10,5,195
26,k-NN,PCA-40,0.2825581395348836,0.7348422207233405,10,5,195
26,k-NN,Raw,0.24041811846689876,0.5179684681363563,10,5,195
27,LDA,PCA-40,0.0,0.0,10,5,195
27,LDA,Raw,0.0,0.0,10,5,195
27,k-NN,PCA-40,0.0,0.0,10,5,195
27,k-NN,Raw,0.0,0.0,10,5,195
28,LDA,PCA-40,7.589743589743589,7.158291871891912,10,5,195
28,LDA,Raw,5.282051282051282,6.816420167469237,10,5,195
28,k-NN,PCA-40,10.550499983212688,8.127954048371569,10,5,195
28,k-NN,Raw,10.659817940981409,7.992277310591421,10,5,195
29,LDA,PCA-40,0.0,0.0,10,5,195
29,LDA,Raw,0.0,0.0,10,5,195
29,k-NN,PCA-40,0.4279056386651323,0.6944723074065592,10,5,195
29,k-NN,Raw,0.4744079449961799,0.8957394353588268,10,5,195
30,LDA,PCA-40,2.0512820512820515,3.1426968052735447,10,5,195
30,LDA,Raw,2.153846153846154,3.774643863892109,10,5,195
30,k-NN,PCA-40,0.0,0.0,10,5,195
30,k-NN,Raw,0.10000000000000005,0.21081851067789203,10,5,195
31,LDA,PCA-40,0.8205128205128205,1.1130817501606636,10,5,195
31,LDA,Raw,0.41025641025641024,0.8980461905342699,10,5,195
31,k-NN,PCA-40,1.6666666666666665,5.270462766947299,10,5,195
31,k-NN,Raw,3.333333333333333,7.027283689263064,10,5,195
32,LDA,PCA-40,0.0,0.0,10,5,195
32,LDA,Raw,0.05128205128205132,0.16216808513684008,10,5,195
32,k-NN,PCA-40,0.0,0.0,10,5,195
32,k-NN,Raw,0.0,0.0,10,5,195
33,LDA,PCA-40,0.9743589743589741,1.4793980528833368,10,5,195
33,LDA,Raw,1.076923076923077,1.1454267054872445,10,5,195
33,k-NN,PCA-40,0.050000000000000024,0.15811388300841903,10,5,195
33,k-NN,Raw,0.0,0.0,10,5,195
34,LDA,PCA-40,0.0,0.0,10,5,195
34,LDA,Raw,0.0,0.0,10,5,195
34,k-NN,PCA-40,0.0,0.0,10,5,195
34,k-NN,Raw,0.0,0.0,10,5,195
35,LDA,PCA-40,7.846153846153845,8.293857848965537,10,5,195
35,LDA,Raw,6.666666666666667,6.482217171233689,10,5,195
35,k-NN,PCA-40,20.94743002703616,14.134375974632905,10,5,195
35,k-NN,Raw,19.09638762447118,12.198413315532786,10,5,195
36,LDA,PCA-40,0.5641025641025641,1.6117401116339374,10,5,195
36,LDA,Raw,0.6666666666666666,0.9684933657583107,10,5,195
36,k-NN,PCA-40,2.6197808366378914,5.044825498339575,10,5,195
36,k-NN,Raw,2.129673203005001,5.219680468957742,10,5,195
37,LDA,PCA-40,3.1794871794871797,6.17186346290317,10,5,195
37,LDA,Raw,2.4615384615384617,6.19549062021158,10,5,195
37,k-NN,PCA-40,5.744888590742624,15.703788847638059,10,5,195
37,k-NN,Raw,5.5931936754883855,15.75476315642916,10,5,195
38,LDA,PCA-40,3.7435897435897436,4.6503895712708525,10,5,195
38,LDA,Raw,0.7179487179487182,0.8443821562549381,10,5,195
38,k-NN,PCA-40,1.3957293769654568,0.9116523706854254,10,5,195
38,k-NN,Raw,1.4361982468616703,0.9824868053783257,10,5,195
39,LDA,PCA-40,0.3076923076923077,0.6486723405473598,10,5,195
39,LDA,Raw,0.35897435897435903,0.8036006340884211,10,5,195
39,k-NN,PCA-40,0.4379790940766548,0.5798647591784771,10,5,195
39,k-NN,Raw,0.10000000000000005,0.31622776601683805,10,5,195
40,LDA,PCA-40,10.307692307692308,8.259966320249676,10,5,195
40,LDA,Raw,10.666666666666668,6.959595569230481,10,5,195
40,k-NN,PCA-40,14.164516743467027,13.007460788218978,10,5,195
40,k-NN,Raw,15.03326140537441,12.91058003254673,10,5,195
