seed,mean_explained_variance_pct
1,81.1548435604385
2,81.16481702323617
3,80.8554233645556
4,81.41627358641598
5,81.37596619158472
6,81.0978262965768
7,81.34539814734597
8,80.93350417869759
9,81.40564986758277
10,81.37180578426663
