seed,subject,requested_components,actual_components,explained_variance,explained_variance_pct
1,1,10,10,0.6016178983096275,60.16178983096275
1,1,20,20,0.7100619153891451,71.0061915389145
1,1,40,40,0.8109829736039738,81.09829736039738
1,1,80,80,0.9041450870007469,90.41450870007469
1,1,150,150,0.9769451141003294,97.69451141003293
1,2,10,10,0.6027969864469063,60.279698644690626
1,2,20,20,0.7114235410284271,71.1423541028427
1,2,40,40,0.8126549376106319,81.26549376106318
1,2,80,80,0.9053141160845642,90.53141160845642
1,2,150,150,0.9771428461507878,97.71428461507878
1,3,10,10,0.6025831124360078,60.25831124360078
1,3,20,20,0.7107345777100817,71.07345777100818
1,3,40,40,0.8119455875392518,81.19455875392518
1,3,80,80,0.9046747208127959,90.46747208127958
1,3,150,150,0.9771530240157018,97.71530240157018
1,4,10,10,0.6020156311055387,60.20156311055387
1,4,20,20,0.7105111355252032,71.05111355252032
1,4,40,40,0.811460365593057,81.1460365593057
1,4,80,80,0.9044986017084828,90.44986017084828
1,4,150,150,0.9769928930532294,97.69928930532295
1,5,10,10,0.6019243961325607,60.19243961325606
1,5,20,20,0.7105163705183224,71.05163705183224
1,5,40,40,0.8115646290349646,81.15646290349646
1,5,80,80,0.9045251754099923,90.45251754099924
1,5,150,150,0.9768840320678189,97.6884032067819
1,6,10,10,0.6016928277473187,60.16928277473187
1,6,20,20,0.7104550200898051,71.0455020089805
1,6,40,40,0.8112510541508916,81.12510541508917
1,6,80,80,0.9042922266198943,90.42922266198943
1,6,150,150,0.976849911119611,97.6849911119611
1,7,10,10,0.6040396413796821,60.40396413796822
1,7,20,20,0.7117155080224509,71.1715508022451
1,7,40,40,0.8118920012066093,81.18920012066093
1,7,80,80,0.9045588106988529,90.4558810698853
1,7,150,150,0.9768377762164742,97.68377762164742
1,8,10,10,0.603744175722279,60.3744175722279
1,8,20,20,0.7115802255618491,71.1580225561849
1,8,40,40,0.8118162192269708,81.18162192269708
1,8,80,80,0.9044098948250402,90.44098948250402
1,8,150,150,0.9767107411619484,97.67107411619484
1,9,10,10,0.6043076728045873,60.43076728045873
1,9,20,20,0.7119978128360568,71.19978128360567
1,9,40,40,0.8123001360357879,81.23001360357878
1,9,80,80,0.9047310922405656,90.47310922405656
1,9,150,150,0.9768606274132404,97.68606274132404
1,10,10,10,0.6031071939849356,60.31071939849356
1,10,20,20,0.7108945292562572,71.08945292562572
1,10,40,40,0.811724860200637,81.1724860200637
1,10,80,80,0.9044551384598323,90.44551384598323
1,10,150,150,0.9768159841760103,97.68159841760104
1,11,10,10,0.6030501526305007,60.305015263050066
1,11,20,20,0.7107875993376704,71.07875993376705
1,11,40,40,0.8117292078335603,81.17292078335603
1,11,80,80,0.9044739542371658,90.44739542371659
1,11,150,150,0.9767844982254079,97.67844982254078
1,12,10,10,0.602641777315186,60.2641777315186
1,12,20,20,0.7095768778924946,70.95768778924946
1,12,40,40,0.8109933877452995,81.09933877452995
1,12,80,80,0.9042628681567333,90.42628681567334
1,12,150,150,0.9768752253284956,97.68752253284956
1,13,10,10,0.6023122804204589,60.23122804204589
1,13,20,20,0.709283483006857,70.9283483006857
1,13,40,40,0.8109783879298411,81.0978387929841
1,13,80,80,0.9045230963030072,90.45230963030072
1,13,150,150,0.9769204509033205,97.69204509033204
1,14,10,10,0.6027856296482179,60.27856296482179
1,14,20,20,0.7099716881921814,70.99716881921813
1,14,40,40,0.8118183957355491,81.18183957355491
1,14,80,80,0.9046149217348063,90.46149217348062
1,14,150,150,0.9770003859402117,97.70003859402117
1,15,10,10,0.6023922649563135,60.23922649563135
1,15,20,20,0.7098225948972104,70.98225948972105
1,15,40,40,0.8117025856652015,81.17025856652015
1,15,80,80,0.9050697856342313,90.50697856342313
1,15,150,150,0.9771498199391535,97.71498199391534
1,16,10,10,0.6024304878958375,60.24304878958375
1,16,20,20,0.7099880084855985,70.99880084855985
1,16,40,40,0.8118748114760346,81.18748114760346
1,16,80,80,0.9050365427116994,90.50365427116994
1,16,150,150,0.9770282856314539,97.70282856314539
1,17,10,10,0.602110586791109,60.2110586791109
1,17,20,20,0.7101553471701038,71.01553471701038
1,17,40,40,0.8118251191623947,81.18251191623948
1,17,80,80,0.9051667387896881,90.51667387896882
1,17,150,150,0.9770402952383186,97.70402952383186
1,18,10,10,0.602946898405191,60.2946898405191
1,18,20,20,0.7106134347708479,71.06134347708479
1,18,40,40,0.8120986687630469,81.20986687630469
1,18,80,80,0.9051933935840332,90.51933935840331
1,18,150,150,0.9769614262800045,97.69614262800044
1,19,10,10,0.6030177000139826,60.30177000139826
1,19,20,20,0.7104623763123411,71.0462376312341
1,19,40,40,0.8122873946506615,81.22873946506614
1,19,80,80,0.9053462463279309,90.5346246327931
1,19,150,150,0.977019935744876,97.7019935744876
1,20,10,10,0.6030639132343777,60.30639132343777
1,20,20,20,0.7100516337808588,71.00516337808588
1,20,40,40,0.8117608556340252,81.17608556340252
1,20,80,80,0.9050558421389847,90.50558421389847
1,20,150,150,0.976933763601843,97.6933763601843
1,21,10,10,0.6024669322085568,60.24669322085568
1,21,20,20,0.7089320397788794,70.89320397788794
1,21,40,40,0.8109232448536133,81.09232448536133
1,21,80,80,0.9048015152827666,90.48015152827666
1,21,150,150,0.9770322219565832,97.70322219565833
1,22,10,10,0.6026189143943224,60.26189143943223
1,22,20,20,0.7091981871198694,70.91981871198693
1,22,40,40,0.8109375288883434,81.09375288883433
1,22,80,80,0.9048992746812179,90.48992746812179
1,22,150,150,0.9770605189625613,97.70605189625613
1,23,10,10,0.6050485659097314,60.50485659097314
1,23,20,20,0.7106237985649765,71.06237985649764
1,23,40,40,0.8120592754301843,81.20592754301843
1,23,80,80,0.9050996179717811,90.50996179717811
1,23,150,150,0.9770234116340699,97.702341163407
1,24,10,10,0.6042691149589072,60.42691149589072
1,24,20,20,0.7103035246889429,71.03035246889429
1,24,40,40,0.8116567845081071,81.1656784508107
1,24,80,80,0.9049708027582165,90.49708027582165
1,24,150,150,0.9769988218672119,97.69988218672118
1,25,10,10,0.6040827668765918,60.40827668765918
1,25,20,20,0.7101124651378801,71.01124651378801
1,25,40,40,0.811304268251585,81.1304268251585
1,25,80,80,0.9046959738188074,90.46959738188075
1,25,150,150,0.9768721232489986,97.68721232489986
1,26,10,10,0.6030295650764848,60.302956507648474
1,26,20,20,0.7095535648525431,70.9553564852543
1,26,40,40,0.811129127765315,81.1129127765315
1,26,80,80,0.9045493241177209,90.45493241177209
1,26,150,150,0.9768510779371484,97.68510779371485
1,27,10,10,0.6035863414836085,60.35863414836085
1,27,20,20,0.7102687250383887,71.02687250383887
1,27,40,40,0.8117310588363409,81.1731058836341
1,27,80,80,0.9048419537553158,90.48419537553158
1,27,150,150,0.976952023049078,97.69520230490781
1,28,10,10,0.6045294882143115,60.45294882143115
1,28,20,20,0.7096339863632704,70.96339863632704
1,28,40,40,0.8114344322922313,81.14344322922314
1,28,80,80,0.9047448002106342,90.47448002106341
1,28,150,150,0.9769353919163889,97.69353919163889
1,29,10,10,0.6029047020583164,60.29047020583164
1,29,20,20,0.7087989885690397,70.87989885690396
1,29,40,40,0.8108565972512468,81.08565972512469
1,29,80,80,0.9045675796910824,90.45675796910824
1,29,150,150,0.976997997308465,97.69979973084651
1,30,10,10,0.6024013168653878,60.24013168653878
1,30,20,20,0.7083121352370957,70.83121352370956
1,30,40,40,0.8102751201892089,81.02751201892089
1,30,80,80,0.9040244641357489,90.40244641357489
