classifier,representation,n_subjects,eer_mean_pct,ci95_low_pct,ci95_high_pct,between_subject_sd_pct,mean_within_subject_split_sd_pct
LDA,PCA-40,40,1.5910256410256411,0.7523288726537466,2.429722409397536,2.6224392743401985,2.0890323901442236
LDA,Raw,40,1.4730769230769232,0.6758618300282492,2.2702920161255973,2.492734262188768,1.894234462678747
k-NN,PCA-40,40,3.0278423940258095,1.5844672175487762,4.4712175705028425,4.513149320640606,4.1518117621852655
k-NN,Raw,40,2.6359313919182603,1.2477422525595245,4.024120531276996,4.340593473769801,3.054477801105146
